tourney_date,tourney_name,tourney_level,surface,best_of,winner_name,loser_name,score,w_svpt,w_1stIn,w_1stWon,w_2ndWon,l_svpt,l_1stIn,l_1stWon,l_2ndWon
2022-01-03,Atp Cup,A,Hard,3,Felix Auger Aliassime,Roberto Bautista Agut,7-6(3) 6-3,78.0,51.0,38.0,14.0,70.0,50.0,32.0,7.0
2022-01-03,Atp Cup,A,Hard,3,Denis Shapovalov,Pablo Carreno Busta,6-4 6-3,78.0,49.0,34.0,16.0,50.0,33.0,21.0,8.0
2022-01-03,Atp Cup,A,Hard,3,Roberto Bautista Agut,Hubert Hurkacz,7-6(6) 2-6 7-6(5),96.0,64.0,50.0,20.0,120.0,80.0,62.0,20.0
2022-01-03,Atp Cup,A,Hard,3,Pablo Carreno Busta,Jan Zielinski,6-2 6-1,45.0,33.0,25.0,8.0,38.0,27.0,17.0,1.0
2022-01-03,Atp Cup,A,Hard,3,Daniil Medvedev,Felix Auger Aliassime,6-4 6-0,41.0,25.0,22.0,10.0,48.0,35.0,22.0,4.0
2022-01-03,Atp Cup,A,Hard,3,Denis Shapovalov,Roman Safiullin,6-4 5-7 6-4,105.0,67.0,51.0,20.0,100.0,61.0,45.0,21.0
2022-01-03,Atp Cup,A,Hard,3,Casper Ruud,Dusan Lajovic,6-3 7-5,65.0,39.0,31.0,11.0,63.0,38.0,24.0,9.0
2022-01-03,Atp Cup,A,Hard,3,Filip Krajinovic,Viktor Durasovic,6-2 7-5,51.0,34.0,27.0,12.0,63.0,38.0,27.0,10.0
2022-01-03,Atp Cup,A,Hard,3,Cristian Garin,Dusan Lajovic,4-6 6-4 3-0 RET,92.0,59.0,36.0,14.0,79.0,51.0,29.0,13.0
2022-01-03,Atp Cup,A,Hard,3,Filip Krajinovic,Alejandro Tabilo,6-4 3-6 7-6(5),97.0,65.0,49.0,12.0,101.0,65.0,42.0,19.0
2022-01-03,Atp Cup,A,Hard,3,Roberto Bautista Agut,Dusan Lajovic,6-1 6-4,50.0,31.0,28.0,10.0,54.0,32.0,23.0,8.0
