tourney_date,tourney_name,tourney_level,surface,best_of,winner_name,loser_name,score,w_svpt,w_1stIn,w_1stWon,w_2ndWon,l_svpt,l_1stIn,l_1stWon,l_2ndWon
2017-01-02,Brisbane,A,Hard,3,Viktor Troicki,Yoshihito Nishioka,6-4 7-5,64.0,45.0,35.0,6.0,82.0,53.0,33.0,13.0
2017-01-02,Brisbane,A,Hard,3,Kyle Edmund,Ernesto Escobedo,7-6(4) 7-6(6),83.0,48.0,37.0,19.0,113.0,67.0,39.0,27.0
2017-01-02,Brisbane,A,Hard,3,Lucas Pouille,Gilles Simon,7-6(6) 7-6(4),102.0,52.0,37.0,24.0,76.0,42.0,29.0,16.0
2017-01-02,Brisbane,A,Hard,3,Jared Donaldson,Gilles Muller,6-4 6-4,55.0,33.0,27.0,13.0,58.0,37.0,27.0,7.0
2017-01-02,Brisbane,A,Hard,3,Jordan Thompson,Elias Ymer,6-3 6-2,46.0,28.0,26.0,6.0,74.0,43.0,23.0,13.0
2017-01-02,Brisbane,A,Hard,3,David Ferrer,Bernard Tomic,6-3 7-5,52.0,30.0,25.0,12.0,74.0,44.0,29.0,12.0
2017-01-02,Brisbane,A,Hard,3,Grigor Dimitrov,Steve Johnson,6-2 6-3,48.0,25.0,23.0,12.0,57.0,36.0,21.0,7.0
2017-01-02,Brisbane,A,Hard,3,Nicolas Mahut,Stephane Robert,4-6 6-3 6-4,86.0,55.0,42.0,17.0,94.0,46.0,29.0,30.0
2017-01-02,Brisbane,A,Hard,3,Sam Groth,Pierre Hugues Herbert,6-3 5-7 7-5,106.0,59.0,45.0,28.0,87.0,48.0,33.0,24.0
2017-01-02,Brisbane,A,Hard,3,Rafael Nadal,Alexandr Dolgopolov,6-3 6-3,52.0,36.0,26.0,10.0,53.0,28.0,20.0,7.0
2017-01-02,Brisbane,A,Hard,3,Mischa Zverev,Alex De Minaur,6-3 6-3,57.0,42.0,30.0,9.0,46.0,26.0,14.0,12.0
2017-01-02,Brisbane,A,Hard,3,Diego Schwartzman,Sam Querrey,6-2 6-4,47.0,29.0,21.0,11.0,50.0,25.0,15.0,9.0
2017-01-02,Brisbane,A,Hard,3,Stan Wawrinka,Viktor Troicki,7-6(5) 6-4,64.0,41.0,33.0,15.0,71.0,46.0,39.0,8.0
