tourney_date,tourney_name,tourney_level,surface,best_of,winner_name,loser_name,score,w_svpt,w_1stIn,w_1stWon,w_2ndWon,l_svpt,l_1stIn,l_1stWon,l_2ndWon
2023-01-02,United Cup,A,Hard,3,Taylor Fritz,Matteo Berrettini,7-6(4) 7-6(6),85.0,52.0,45.0,16.0,97.0,62.0,47.0,15.0
2023-01-02,United Cup,A,Hard,3,Frances Tiafoe,Lorenzo Musetti,6-2 0-0 RET,27.0,19.0,15.0,3.0,21.0,12.0,8.0,3.0
2023-01-02,United Cup,A,Hard,3,Taylor Fritz,Hubert Hurkacz,7-6(5) 7-6(5),80.0,50.0,44.0,19.0,82.0,62.0,51.0,7.0
2023-01-02,United Cup,A,Hard,3,Frances Tiafoe,Kacper Zuk,6-3 6-3,61.0,37.0,31.0,11.0,68.0,41.0,26.0,12.0
2023-01-02,United Cup,A,Hard,3,Stefanos Tsitsipas,Matteo Berrettini,4-6 7-6(2) 6-4,98.0,52.0,43.0,28.0,89.0,58.0,48.0,18.0
2023-01-02,United Cup,A,Hard,3,Lorenzo Musetti,Stefanos Sakellaridis,6-1 6-1,41.0,25.0,18.0,12.0,43.0,26.0,15.0,5.0
2023-01-02,United Cup,A,Hard,3,Stefanos Tsitsipas,Borna Coric,6-0 6-7(4) 7-5,94.0,60.0,45.0,20.0,88.0,59.0,44.0,10.0
2023-01-02,United Cup,A,Hard,3,Borna Gojo,Stefanos Sakellaridis,6-4 6-2,50.0,30.0,27.0,11.0,78.0,50.0,30.0,12.0
2023-01-02,United Cup,A,Hard,3,Matteo Berrettini,Hubert Hurkacz,6-4 3-6 6-3,77.0,49.0,37.0,18.0,79.0,49.0,36.0,16.0
2023-01-02,United Cup,A,Hard,3,Lorenzo Musetti,Daniel Michalski,6-1 6-1,31.0,18.0,17.0,11.0,40.0,28.0,12.0,5.0
2023-01-02,United Cup,A,Hard,3,Cameron Norrie,Taylor Fritz,6-4 5-7 6-4,91.0,69.0,53.0,9.0,95.0,58.0,39.0,21.0
2023-01-02,United Cup,A,Hard,3,Frances Tiafoe,Daniel Evans,3-6 7-5 6-3,87.0,46.0,32.0,24.0,82.0,46.0,35.0,17.0
2023-01-02,United Cup,A,Hard,3,Stefanos Tsitsipas,David Goffin,6-3 6-2,61.0,39.0,27.0,12.0,49.0,33.0,22.0,4.0
2023-01-02,United Cup,A,Hard,3,Stefanos Sakellaridis,Zizou Bergs,5-7 6-1 6-3,86.0,50.0,37.0,21.0,86.0,52.0,33.0,16.0
2023-01-02,United Cup,A,Hard,3,Stefanos Tsitsipas,Grigor Dimitrov,4-6 6-2 7-6(4),95.0,72.0,56.0,12.0,87.0,55.0,44.0,19.0
2023-01-02,United Cup,A,Hard,3,Dimitar Kuzmanov,Michail Pervolarakis,6-1 6-1,36.0,20.0,18.0,11.0,48.0,26.0,14.0,6.0
2023-01-02,United Cup,A,Hard,3,Grigor Dimitrov,David Goffin,6-4 7-5,72.0,48.0,38.0,9.0,64.0,33.0,22.0,16.0
2023-01-02,United Cup,A,Hard,3,Dimitar Kuzmanov,Zizou Bergs,6-2 6-0,48.0,33.0,21.0,12.0,56.0,31.0,13.0,11.0
2023-01-02,United Cup,A,Hard,3,Hubert Hurkacz,Stan Wawrinka,7-6(5) 6-4,62.0,32.0,25.0,23.0,67.0,33.0,26.0,21.0
2023-01-02,United Cup,A,Hard,3,Marc Andrea Huesler,Daniel Michalski,6-3 6-2,52.0,31.0,27.0,11.0,46.0,34.0,20.0,5.0
2023-01-02,United Cup,A,Hard,3,Hubert Hurkacz,Alexander Bublik,7-6(8) 4-6 6-3,94.0,58.0,52.0,20.0,104.0,62.0,50.0,23.0
2023-01-02,United Cup,A,Hard,3,Timofey Skatov,Daniel Michalski,7-6(7) 6-2,78.0,55.0,44.0,11.0,93.0,62.0,41.0,14.0
2023-01-02,United Cup,A,Hard,3,Stan Wawrinka,Alexander Bublik,6-3 7-6(3),63.0,34.0,29.0,19.0,59.0,42.0,33.0,8.0
2023-01-02,United Cup,A,Hard,3,Marc Andrea Huesler,Timofey Skatov,4-6 6-3 6-3,99.0,67.0,48.0,16.0,88.0,61.0,41.0,13.0
2023-01-02,United Cup,A,Hard,3,Taylor Fritz,Alexander Zverev,6-1 6-4,45.0,27.0,26.0,11.0,60.0,48.0,31.0,3.0
2023-01-02,United Cup,A,Hard,3,Frances Tiafoe,Oscar Otte,7-5 6-4,56.0,30.0,29.0,16.0,58.0,30.0,23.0,18.0
2023-01-02,United Cup,A,Hard,3,Taylor Fritz,Jiri Lehecka,6-3 6-4,68.0,41.0,32.0,14.0,48.0,31.0,24.0,8.0
