tourney_date,tourney_name,tourney_level,surface,best_of,winner_name,loser_name,score,w_svpt,w_1stIn,w_1stWon,w_2ndWon,l_svpt,l_1stIn,l_1stWon,l_2ndWon
2015-01-04,Brisbane,A,Hard,3,John Millman,Rhyne Williams,6-3 6-1,44.0,24.0,19.0,14.0,50.0,31.0,20.0,5.0
2015-01-04,Brisbane,A,Hard,3,Jarkko Nieminen,Denis Kudla,4-6 6-1 6-4,92.0,59.0,39.0,17.0,83.0,50.0,26.0,19.0
2015-01-04,Brisbane,A,Hard,3,James Duckworth,Gilles Simon,6-2 6-2,45.0,27.0,20.0,11.0,56.0,37.0,22.0,5.0
2015-01-04,Brisbane,A,Hard,3,Jeremy Chardy,Andrey Golubev,6-4 6-4,53.0,39.0,31.0,11.0,57.0,38.0,30.0,8.0
2015-01-04,Brisbane,A,Hard,3,Martin Klizan,Jurgen Melzer,6-7(5) 7-6(6) 6-1,130.0,79.0,55.0,27.0,95.0,62.0,40.0,19.0
2015-01-04,Brisbane,A,Hard,3,Alexandr Dolgopolov,Carlos Berlocq,6-2 6-3,49.0,31.0,24.0,12.0,78.0,53.0,32.0,8.0
2015-01-04,Brisbane,A,Hard,3,Lukasz Kubot,Kevin Anderson,7-6(3) 6-4,78.0,51.0,35.0,14.0,76.0,43.0,30.0,17.0
2015-01-04,Brisbane,A,Hard,3,Sam Groth,Lleyton Hewitt,6-3 6-2,47.0,34.0,30.0,8.0,45.0,22.0,13.0,14.0
2015-01-04,Brisbane,A,Hard,3,Mikhail Kukushkin,Marius Copil,6-4 4-6 6-4,84.0,56.0,42.0,16.0,89.0,56.0,46.0,15.0
2015-01-04,Brisbane,A,Hard,3,Thanasi Kokkinakis,Julien Benneteau,6-4 6-3,52.0,30.0,25.0,14.0,52.0,33.0,23.0,7.0
2015-01-04,Brisbane,A,Hard,3,Bernard Tomic,Sam Querrey,7-5 7-6(5),77.0,46.0,36.0,21.0,70.0,42.0,35.0,14.0
2015-01-04,Brisbane,A,Hard,3,Steve Johnson,Marinko Matosevic,2-6 7-6(0) 7-5,95.0,58.0,45.0,24.0,106.0,68.0,51.0,19.0
2015-01-04,Brisbane,A,Hard,3,Roger Federer,John Millman,4-6 6-4 6-3,85.0,50.0,37.0,19.0,112.0,72.0,44.0,20.0
2015-01-04,Brisbane,A,Hard,3,James Duckworth,Jarkko Nieminen,4-6 7-6(5) 6-3,114.0,66.0,51.0,24.0,92.0,60.0,45.0,19.0
2015-01-04,Brisbane,A,Hard,3,Grigor Dimitrov,Jeremy Chardy,3-6 6-4 7-6(8),107.0,64.0,46.0,23.0,126.0,78.0,60.0,20.0
2015-01-04,Brisbane,A,Hard,3,Martin Klizan,Alexandr Dolgopolov,1-6 7-6(6) 7-6(7),116.0,73.0,46.0,18.0,103.0,68.0,51.0,19.0
