tourney_date,tourney_name,tourney_level,surface,best_of,winner_name,loser_name,score,w_svpt,w_1stIn,w_1stWon,w_2ndWon,l_svpt,l_1stIn,l_1stWon,l_2ndWon
2018-01-01,Brisbane,A,Hard,3,Ryan Harrison,Leonardo Mayer,6-4 3-6 6-2,82.0,49.0,39.0,20.0,80.0,47.0,33.0,19.0
2018-01-01,Brisbane,A,Hard,3,Jared Donaldson,Jordan Thompson,6-2 6-4,58.0,32.0,25.0,14.0,62.0,41.0,25.0,7.0
2018-01-01,Brisbane,A,Hard,3,Denis Istomin,Damir Dzumhur,6-7(4) 6-3 6-2,94.0,66.0,48.0,12.0,120.0,53.0,37.0,29.0
2018-01-01,Brisbane,A,Hard,3,Alex De Minaur,Steve Johnson,7-6(7) 6-4,66.0,37.0,32.0,17.0,80.0,43.0,33.0,17.0
2018-01-01,Brisbane,A,Hard,3,Michael Mmoh,Federico Delbonis,6-3 6-4,55.0,38.0,32.0,11.0,45.0,35.0,28.0,5.0
2018-01-01,Brisbane,A,Hard,3,Mischa Zverev,John Patrick Smith,6-4 7-5,66.0,51.0,35.0,6.0,69.0,51.0,27.0,8.0
2018-01-01,Brisbane,A,Hard,3,Alexandr Dolgopolov,Diego Schwartzman,6-4 7-6(3),69.0,40.0,32.0,16.0,70.0,34.0,22.0,20.0
2018-01-01,Brisbane,A,Hard,3,Horacio Zeballos,Ernesto Escobedo,6-3 6-4,57.0,37.0,31.0,11.0,51.0,32.0,25.0,10.0
2018-01-01,Brisbane,A,Hard,3,Matthew Ebden,Frances Tiafoe,6-3 6-2,48.0,32.0,23.0,11.0,46.0,25.0,18.0,6.0
2018-01-01,Brisbane,A,Hard,3,Hyeon Chung,Gilles Muller,6-3 7-6(1),64.0,35.0,29.0,17.0,68.0,40.0,33.0,10.0
2018-01-01,Brisbane,A,Hard,3,Kyle Edmund,Denis Shapovalov,6-7(5) 7-6(4) 6-4,113.0,65.0,54.0,29.0,100.0,62.0,54.0,18.0
2018-01-01,Brisbane,A,Hard,3,John Millman,Peter Polansky,7-6(4) 6-0,57.0,37.0,27.0,17.0,74.0,43.0,24.0,17.0
2018-01-01,Brisbane,A,Hard,3,Ryan Harrison,Yannick Hanfmann,6-7(5) 6-4 6-2,96.0,54.0,43.0,23.0,115.0,68.0,50.0,17.0
2018-01-01,Brisbane,A,Hard,3,Denis Istomin,Jared Donaldson,7-6(5) 6-2,63.0,45.0,35.0,8.0,72.0,35.0,26.0,15.0
