Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,Season,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,B365>2.5,B365<2.5,AHh,B365AHH,B365AHA
2015-09-26,Osasuna,Cordoba,0,0,D,2.1,3.25,3.6,2015,,,,,,,,,,,,,,,
2015-09-26,Alcorcon,Numancia,1,1,D,2.0,3.2,4.0,2015,,,,,,,,,,,,,,,
2015-09-26,Lugo,Zaragoza,0,0,D,2.1,3.4,3.4,2015,,,,,,,,,,,,,,,
2015-09-26,Mallorca,Huesca,0,1,A,2.1,3.1,3.8,2015,,,,,,,,,,,,,,,
2015-09-27,Alaves,Leganes,0,0,D,2.05,3.25,3.75,2015,,,,,,,,,,,,,,,
2015-09-27,Albacete,Almeria,3,0,H,2.4,3.2,3.0,2015,,,,,,,,,,,,,,,
2015-09-27,Elche,Oviedo,1,1,D,2.1,3.25,3.5,2015,,,,,,,,,,,,,,,
2015-09-27,Girona,Llagostera,2,2,D,1.65,3.6,5.5,2015,,,,,,,,,,,,,,,
2015-09-27,Tenerife,Mirandes,3,0,H,2.0,3.2,4.0,2015,,,,,,,,,,,,,,,
2015-09-27,Valladolid,Gimnastic,0,0,D,1.95,3.3,4.0,2015,,,,,,,,,,,,,,,
2015-10-03,Almeria,Tenerife,2,2,D,2.05,3.3,3.6,2015,,,,,,,,,,,,,,,
2015-10-03,Cordoba,Ath Bilbao B,1,0,H,2.0,3.3,3.75,2015,,,,,,,,,,,,,,,
2015-10-03,Gimnastic,Alcorcon,0,2,A,2.4,3.1,3.1,2015,,,,,,,,,,,,,,,
2015-10-03,Numancia,Ponferradina,1,0,H,2.2,3.2,3.4,2015,,,,,,,,,,,,,,,
2015-10-03,Zaragoza,Alaves,1,0,H,2.1,3.3,3.5,2015,,,,,,,,,,,,,,,
2015-10-04,Oviedo,Mallorca,1,1,D,2.0,3.3,3.8,2015,,,,,,,,,,,,,,,
2015-10-04,Osasuna,Lugo,4,0,H,2.0,3.3,3.75,2015,,,,,,,,,,,,,,,
2015-10-04,Mirandes,Girona,1,0,H,2.7,3.2,2.63,2015,,,,,,,,,,,,,,,
