tourney_date,tourney_name,tourney_level,surface,best_of,winner_name,loser_name,score,w_svpt,w_1stIn,w_1stWon,w_2ndWon,l_svpt,l_1stIn,l_1stWon,l_2ndWon
2024-01-01,Brisbane,A,Hard,3,Grigor Dimitrov,Holger Rune,7-6(5) 6-4,74.0,52.0,40.0,13.0,95.0,58.0,44.0,16.0
2024-01-01,Brisbane,A,Hard,3,Holger Rune,Roman Safiullin,6-4 7-6(0),72.0,48.0,39.0,11.0,66.0,35.0,31.0,10.0
2024-01-01,Brisbane,A,Hard,3,Grigor Dimitrov,Jordan Thompson,6-3 7-5,67.0,45.0,39.0,10.0,62.0,39.0,24.0,14.0
2024-01-01,Brisbane,A,Hard,3,Holger Rune,James Duckworth,6-2 7-6(6),65.0,36.0,31.0,17.0,77.0,51.0,31.0,16.0
2024-01-01,Brisbane,A,Hard,3,Roman Safiullin,Matteo Arnaldi,7-6(4) 6-2,73.0,43.0,36.0,14.0,69.0,37.0,27.0,16.0
2024-01-01,Brisbane,A,Hard,3,Jordan Thompson,Rafael Nadal,5-7 7-6(6) 6-3,109.0,67.0,51.0,20.0,108.0,79.0,58.0,13.0
2024-01-01,Brisbane,A,Hard,3,Grigor Dimitrov,Rinky Hijikata,6-1 6-4,50.0,33.0,26.0,12.0,57.0,34.0,23.0,8.0
2024-01-01,Brisbane,A,Hard,3,Holger Rune,Alexander Shevchenko,6-4 5-7 6-2,91.0,57.0,43.0,22.0,108.0,62.0,45.0,23.0
2024-01-01,Brisbane,A,Hard,3,James Duckworth,Yannick Hanfmann,4-6 6-1 7-6(2),91.0,66.0,52.0,13.0,97.0,56.0,43.0,20.0
2024-01-01,Brisbane,A,Hard,3,Roman Safiullin,Alexei Popyrin,6-7(9) 6-4 7-6(3),121.0,77.0,62.0,26.0,113.0,79.0,64.0,15.0
2024-01-01,Brisbane,A,Hard,3,Matteo Arnaldi,Lukas Klein,6-4 3-6 7-5,80.0,44.0,37.0,21.0,87.0,50.0,42.0,17.0
2024-01-01,Brisbane,A,Hard,3,Rafael Nadal,Jason Kubler,6-1 6-2,46.0,30.0,24.0,10.0,46.0,35.0,20.0,2.0
2024-01-01,Brisbane,A,Hard,3,Jordan Thompson,Ugo Humbert,W/O,,,,,,,,
2024-01-01,Brisbane,A,Hard,3,Rinky Hijikata,Tomas Machac,5-7 6-2 7-6(4),104.0,64.0,44.0,23.0,89.0,61.0,45.0,12.0
2024-01-01,Brisbane,A,Hard,3,Grigor Dimitrov,Daniel Altmaier,6-1 6-2,41.0,26.0,24.0,10.0,49.0,28.0,17.0,6.0
2024-01-01,Brisbane,A,Hard,3,Holger Rune,Max Purcell,4-6 6-4 6-2,72.0,58.0,43.0,8.0,74.0,48.0,35.0,13.0
2024-01-01,Brisbane,A,Hard,3,Alexander Shevchenko,Luca Van Assche,6-3 6-2,52.0,35.0,26.0,13.0,59.0,37.0,21.0,11.0
2024-01-01,Brisbane,A,Hard,3,James Duckworth,J J Wolf,6-3 6-4,52.0,36.0,31.0,11.0,44.0,32.0,27.0,4.0
2024-01-01,Brisbane,A,Hard,3,Yannick Hanfmann,Sebastian Korda,7-5 6-4,65.0,50.0,35.0,9.0,72.0,40.0,29.0,14.0
2024-01-01,Brisbane,A,Hard,3,Roman Safiullin,Ben Shelton,6-3 6-7(5) 6-3,95.0,50.0,44.0,28.0,103.0,69.0,53.0,16.0
2024-01-01,Brisbane,A,Hard,3,Alexei Popyrin,Christopher Oconnell,6-4 6-7(5) 7-6(4),107.0,68.0,55.0,23.0,127.0,78.0,56.0,26.0
2024-01-01,Brisbane,A,Hard,3,Matteo Arnaldi,Marton Fucsovics,6-7(5) 6-4 7-6(7),122.0,66.0,48.0,39.0,101.0,61.0,47.0,30.0
2024-01-01,Brisbane,A,Hard,3,Lukas Klein,Sebastian Baez,4-6 6-3 6-4,83.0,51.0,38.0,18.0,115.0,92.0,53.0,14.0
2024-01-01,Brisbane,A,Hard,3,Jason Kubler,Aslan Karatsev,6-4 6-7(4) 0-0 RET,76.0,49.0,31.0,13.0,70.0,39.0,29.0,14.0
2024-01-01,Brisbane,A,Hard,3,Rafael Nadal,Dominic Thiem,7-5 6-1,46.0,31.0,28.0,12.0,54.0,34.0,23.0,10.0
2024-01-01,Brisbane,A,Hard,3,Jordan Thompson,Aleksandar Vukic,6-3 6-2,46.0,28.0,23.0,11.0,54.0,32.0,18.0,10.0
2024-01-01,Brisbane,A,Hard,3,Ugo Humbert,Alex Michelsen,6-4 6-4,53.0,29.0,24.0,19.0,72.0,38.0,24.0,18.0
2024-01-01,Brisbane,A,Hard,3,Tomas Machac,Tomas Martin Etcheverry,6-7(5) 7-5 7-6(1),111.0,70.0,57.0,21.0,116.0,82.0,59.0,17.0
2024-01-01,Brisbane,A,Hard,3,Rinky Hijikata,Thanasi Kokkinakis,7-6(8) 6-2,67.0,39.0,33.0,16.0,62.0,47.0,36.0,6.0
2024-01-01,Brisbane,A,Hard,3,Daniel Altmaier,Li Tu,7-6(5) 7-6(4),81.0,55.0,42.0,17.0,83.0,46.0,38.0,22.0
2024-01-01,Brisbane,A,Hard,3,Grigor Dimitrov,Andy Murray,4-6 7-5 6-2,82.0,51.0,42.0,16.0,86.0,51.0,32.0,21.0
2024-01-01,United Cup,A,Hard,3,Alexander Zverev,Hubert Hurkacz,6-7(3) 7-6(6) 6-4,96.0,72.0,62.0,14.0,119.0,70.0,54.0,27.0
2024-01-01,United Cup,A,Hard,3,Hubert Hurkacz,Adrian Mannarino,6-3 7-5,58.0,36.0,31.0,14.0,70.0,45.0,30.0,12.0
2024-01-01,United Cup,A,Hard,3,Alex De Minaur,Alexander Zverev,5-7 6-3 6-4,97.0,62.0,43.0,24.0,83.0,57.0,42.0,15.0
2024-01-01,United Cup,A,Hard,3,Hubert Hurkacz,Zhizhen Zhang,6-3 6-4,65.0,48.0,36.0,9.0,55.0,29.0,21.0,14.0
2024-01-01,United Cup,A,Hard,3,Casper Ruud,Adrian Mannarino,6-1 6-4,50.0,33.0,29.0,9.0,49.0,33.0,20.0,7.0
2024-01-01,United Cup,A,Hard,3,Alex De Minaur,Novak Djokovic,6-4 6-4,49.0,34.0,33.0,8.0,68.0,43.0,30.0,11.0
2024-01-01,United Cup,A,Hard,3,Alexander Zverev,Stefanos Tsitsipas,6-4 6-4,56.0,45.0,34.0,8.0,64.0,40.0,34.0,6.0
2024-01-01,United Cup,A,Hard,3,Alejandro Davidovich Fokina,Hubert Hurkacz,3-6 6-3 6-4,83.0,49.0,30.0,25.0,80.0,60.0,41.0,9.0
2024-01-01,United Cup,A,Hard,3,Hubert Hurkacz,Thiago Seyboth Wild,6-7(4) 6-2 6-3,81.0,52.0,39.0,19.0,110.0,82.0,54.0,10.0
2024-01-01,United Cup,A,Hard,3,Alejandro Davidovich Fokina,Thiago Seyboth Wild,6-4 6-0,53.0,38.0,30.0,8.0,50.0,27.0,16.0,10.0
2024-01-01,United Cup,A,Hard,3,Stefanos Tsitsipas,Steven Diez,6-2 6-3,51.0,31.0,28.0,9.0,48.0,27.0,16.0,11.0
2024-01-01,United Cup,A,Hard,3,Nicolas Jarry,Stefanos Sakellaridis,6-3 3-6 7-5,68.0,49.0,41.0,17.0,104.0,61.0,43.0,22.0
2024-01-01,United Cup,A,Hard,3,Nicolas Jarry,Steven Diez,7-5 6-4,55.0,36.0,31.0,14.0,91.0,58.0,37.0,16.0
2024-01-01,United Cup,A,Hard,3,Taylor Fritz,Cameron Norrie,7-6(5) 6-4,68.0,43.0,33.0,15.0,67.0,36.0,29.0,16.0
2024-01-01,United Cup,A,Hard,3,Alex De Minaur,Taylor Fritz,6-4 6-2,57.0,36.0,28.0,12.0,59.0,36.0,26.0,9.0
2024-01-01,United Cup,A,Hard,3,Cameron Norrie,Alex De Minaur,6-4 2-6 7-6(2),89.0,57.0,51.0,12.0,81.0,45.0,35.0,23.0
2024-01-01,United Cup,A,Hard,3,Adrian Mannarino,Lorenzo Sonego,6-4 6-4,62.0,44.0,32.0,13.0,62.0,40.0,27.0,11.0
2024-01-01,United Cup,A,Hard,3,Alexander Zverev,Adrian Mannarino,4-6 6-4 6-3,91.0,67.0,47.0,16.0,81.0,51.0,40.0,15.0
2024-01-01,United Cup,A,Hard,3,Alexander Zverev,Lorenzo Sonego,6-7(5) 6-3 6-4,87.0,64.0,52.0,17.0,111.0,70.0,50.0,20.0
2024-01-01,United Cup,A,Hard,3,Zhizhen Zhang,Jiri Lehecka,5-7 6-3 6-4,97.0,59.0,42.0,19.0,79.0,43.0,33.0,20.0
2024-01-01,United Cup,A,Hard,3,Novak Djokovic,Jiri Lehecka,6-1 6-7(3) 6-1,80.0,49.0,36.0,19.0,75.0,47.0,30.0,9.0
2024-01-01,United Cup,A,Hard,3,Novak Djokovic,Zhizhen Zhang,6-3 6-2,46.0,28.0,24.0,12.0,57.0,35.0,24.0,7.0
2024-01-01,United Cup,A,Hard,3,Borna Coric,Tallon Griekspoor,7-6(4) 6-4,65.0,39.0,30.0,16.0,76.0,50.0,31.0,16.0
2024-01-01,United Cup,A,Hard,3,Casper Ruud,Borna Coric,6-4 6-1,50.0,32.0,28.0,10.0,53.0,38.0,25.0,5.0
2024-01-01,United Cup,A,Hard,3,Casper Ruud,Tallon Griekspoor,6-3 6-4,54.0,39.0,32.0,7.0,52.0,33.0,21.0,11.0
2024-01-01,Hong Kong,A,Hard,3,Andrey Rublev,Emil Ruusuvuori,6-4 6-4,58.0,40.0,29.0,14.0,62.0,39.0,26.0,12.0
2024-01-01,Hong Kong,A,Hard,3,Andrey Rublev,Juncheng Shang,4-6 6-2 6-3,98.0,55.0,38.0,29.0,78.0,45.0,27.0,19.0
2024-01-01,Hong Kong,A,Hard,3,Emil Ruusuvuori,Sebastian Ofner,4-6 7-5 6-3,88.0,60.0,48.0,16.0,100.0,56.0,40.0,22.0
2024-01-01,Hong Kong,A,Hard,3,Andrey Rublev,Arthur Fils,6-4 1-6 6-2,65.0,41.0,31.0,15.0,92.0,53.0,38.0,15.0
2024-01-01,Hong Kong,A,Hard,3,Juncheng Shang,Frances Tiafoe,6-4 6-4,54.0,25.0,19.0,23.0,56.0,34.0,28.0,11.0
2024-01-01,Hong Kong,A,Hard,3,Sebastian Ofner,Roberto Bautista Agut,6-4 6-4,57.0,43.0,35.0,7.0,68.0,50.0,35.0,8.0
2024-01-01,Hong Kong,A,Hard,3,Emil Ruusuvuori,Pavel Kotov,6-3 7-6(4),76.0,44.0,33.0,19.0,63.0,45.0,30.0,10.0
2024-01-01,Hong Kong,A,Hard,3,Andrey Rublev,Liam Broady,6-4 7-6(8),69.0,38.0,31.0,18.0,91.0,62.0,43.0,10.0
2024-01-01,Hong Kong,A,Hard,3,Arthur Fils,Marc Andrea Huesler,7-5 7-5,78.0,51.0,38.0,11.0,94.0,55.0,37.0,16.0
2024-01-01,Hong Kong,A,Hard,3,Frances Tiafoe,Miomir Kecmanovic,6-3 7-6(4),69.0,42.0,37.0,14.0,70.0,39.0,28.0,18.0
2024-01-01,Hong Kong,A,Hard,3,Juncheng Shang,Botic Van De Zandschulp,6-7(5) 7-6(2) 7-6(2),129.0,70.0,51.0,31.0,116.0,72.0,50.0,25.0
2024-01-01,Hong Kong,A,Hard,3,Sebastian Ofner,Jan Lennard Struff,6-7(4) 7-6(5) 7-6(2),123.0,70.0,55.0,29.0,131.0,76.0,56.0,29.0
2024-01-01,Hong Kong,A,Hard,3,Roberto Bautista Agut,Francisco Cerundolo,7-5 6-3,67.0,47.0,38.0,9.0,60.0,36.0,26.0,12.0
2024-01-01,Hong Kong,A,Hard,3,Pavel Kotov,Lorenzo Musetti,6-4 6-3,71.0,48.0,38.0,8.0,59.0,43.0,29.0,7.0
2024-01-01,Hong Kong,A,Hard,3,Emil Ruusuvuori,Karen Khachanov,7-6(2) 2-6 6-2,96.0,58.0,41.0,20.0,99.0,55.0,37.0,22.0
2024-01-01,Hong Kong,A,Hard,3,Liam Broady,Pedro Cachin,6-4 6-0,46.0,29.0,21.0,11.0,42.0,30.0,13.0,5.0
2024-01-01,Hong Kong,A,Hard,3,Marc Andrea Huesler,Vitaliy Sachko,6-4 6-4,61.0,39.0,28.0,15.0,54.0,36.0,28.0,9.0
2024-01-01,Hong Kong,A,Hard,3,Arthur Fils,Borna Gojo,6-3 4-6 6-1,79.0,48.0,38.0,16.0,76.0,47.0,35.0,11.0
2024-01-01,Hong Kong,A,Hard,3,Miomir Kecmanovic,Taro Daniel,6-3 6-2,46.0,32.0,25.0,10.0,59.0,39.0,24.0,6.0
2024-01-01,Hong Kong,A,Hard,3,Botic Van De Zandschulp,Shintaro Mochizuki,7-5 6-1,71.0,42.0,30.0,14.0,59.0,26.0,20.0,10.0
2024-01-01,Hong Kong,A,Hard,3,Juncheng Shang,Laslo Djere,6-7(5) 6-3 7-6(8),96.0,64.0,52.0,19.0,122.0,88.0,65.0,11.0
2024-01-01,Hong Kong,A,Hard,3,Jan Lennard Struff,Marin Cilic,3-6 7-6(4) 7-6(7),124.0,69.0,49.0,26.0,130.0,64.0,49.0,31.0
2024-01-01,Hong Kong,A,Hard,3,Sebastian Ofner,Mackenzie Mcdonald,6-1 6-2,44.0,27.0,20.0,8.0,46.0,30.0,17.0,4.0
2024-01-01,Hong Kong,A,Hard,3,Roberto Bautista Agut,Fabian Marozsan,6-2 6-3,56.0,38.0,27.0,12.0,44.0,30.0,21.0,3.0
2024-01-01,Hong Kong,A,Hard,3,Lorenzo Musetti,Chak Lam Coleman Wong,6-4 7-5,63.0,42.0,32.0,13.0,80.0,46.0,32.0,16.0
2024-01-01,Hong Kong,A,Hard,3,Pavel Kotov,Nuno Borges,6-2 6-4,57.0,45.0,33.0,6.0,65.0,34.0,20.0,15.0
2024-01-01,Hong Kong,A,Hard,3,Emil Ruusuvuori,Benjamin Bonzi,6-7(5) 6-2 6-1,98.0,51.0,33.0,25.0,113.0,71.0,44.0,13.0
2024-01-08,Adelaide,A,Hard,3,Jiri Lehecka,Jack Draper,4-6 6-4 6-3,92.0,60.0,45.0,18.0,80.0,48.0,35.0,19.0
2024-01-08,Adelaide,A,Hard,3,Jack Draper,Alexander Bublik,7-6(2) 6-4,59.0,35.0,28.0,16.0,74.0,45.0,36.0,7.0
2024-01-08,Adelaide,A,Hard,3,Jiri Lehecka,Sebastian Korda,6-2 6-1,58.0,39.0,30.0,11.0,56.0,33.0,18.0,9.0
2024-01-08,Adelaide,A,Hard,3,Jack Draper,Tommy Paul,6-1 6-4,47.0,24.0,22.0,13.0,54.0,37.0,21.0,8.0
2024-01-08,Adelaide,A,Hard,3,Alexander Bublik,Lorenzo Musetti,6-3 6-7(4) 7-5,102.0,57.0,53.0,14.0,115.0,73.0,45.0,22.0
2024-01-08,Adelaide,A,Hard,3,Sebastian Korda,Christopher Oconnell,6-4 6-4,64.0,38.0,31.0,16.0,66.0,43.0,30.0,11.0
2024-01-08,Adelaide,A,Hard,3,Jiri Lehecka,Nicolas Jarry,6-4 7-5,58.0,39.0,31.0,11.0,77.0,52.0,33.0,10.0
2024-01-08,Adelaide,A,Hard,3,Tommy Paul,Alex Bolt,6-3 6-2,51.0,31.0,25.0,15.0,53.0,35.0,22.0,7.0
2024-01-08,Adelaide,A,Hard,3,Jack Draper,Miomir Kecmanovic,5-7 7-6(9) 7-6(7),137.0,76.0,57.0,30.0,122.0,69.0,47.0,32.0
2024-01-08,Adelaide,A,Hard,3,Lorenzo Musetti,Jordan Thompson,6-4 6-1,33.0,24.0,23.0,9.0,66.0,36.0,20.0,14.0
2024-01-08,Adelaide,A,Hard,3,Alexander Bublik,Daniel Evans,4-6 6-2 6-1,85.0,49.0,40.0,14.0,68.0,39.0,23.0,13.0
2024-01-08,Adelaide,A,Hard,3,Christopher Oconnell,Alexander Shevchenko,6-3 6-1,45.0,28.0,25.0,10.0,46.0,31.0,18.0,6.0
2024-01-08,Adelaide,A,Hard,3,Sebastian Korda,Lorenzo Sonego,6-4 7-6(10),65.0,35.0,32.0,15.0,74.0,52.0,34.0,11.0
2024-01-08,Adelaide,A,Hard,3,Jiri Lehecka,Dusan Lajovic,7-5 4-6 6-3,100.0,58.0,43.0,21.0,87.0,64.0,42.0,10.0
2024-01-08,Adelaide,A,Hard,3,Nicolas Jarry,Matteo Arnaldi,6-7(5) 7-6(7) 6-4,124.0,81.0,62.0,19.0,121.0,74.0,57.0,21.0
2024-01-08,Adelaide,A,Hard,3,Alex Bolt,Thiago Seyboth Wild,6-3 6-2,39.0,27.0,22.0,10.0,71.0,46.0,28.0,9.0
2024-01-08,Adelaide,A,Hard,3,Miomir Kecmanovic,Mackenzie Mcdonald,6-4 6-2,47.0,34.0,23.0,7.0,55.0,36.0,21.0,5.0
2024-01-08,Adelaide,A,Hard,3,Jack Draper,Sebastian Baez,6-1 6-3,51.0,31.0,25.0,10.0,49.0,34.0,19.0,7.0
2024-01-08,Adelaide,A,Hard,3,Jordan Thompson,Facundo Diaz Acosta,6-2 6-2,42.0,26.0,22.0,11.0,56.0,35.0,16.0,13.0
2024-01-08,Adelaide,A,Hard,3,Daniel Evans,Rinky Hijikata,6-3 6-4,57.0,36.0,31.0,12.0,69.0,41.0,27.0,13.0
2024-01-08,Adelaide,A,Hard,3,Alexander Bublik,James Mccabe,6-2 6-3,48.0,29.0,25.0,8.0,56.0,29.0,12.0,16.0
2024-01-08,Adelaide,A,Hard,3,Alexander Shevchenko,Tomas Martin Etcheverry,7-6(4) 4-6 7-5,117.0,72.0,50.0,19.0,110.0,73.0,50.0,16.0
2024-01-08,Adelaide,A,Hard,3,Christopher Oconnell,Arthur Rinderknech,6-4 6-4,50.0,31.0,29.0,10.0,69.0,49.0,34.0,6.0
2024-01-08,Adelaide,A,Hard,3,Lorenzo Sonego,Yannick Hanfmann,7-5 2-6 7-6(9),103.0,76.0,64.0,8.0,111.0,71.0,50.0,27.0
2024-01-08,Adelaide,A,Hard,3,Jiri Lehecka,Adam Walton,6-1 6-3,51.0,25.0,21.0,14.0,51.0,35.0,23.0,3.0
2024-01-08,Adelaide,A,Hard,3,Dusan Lajovic,Thanasi Kokkinakis,3-6 6-1 6-4,84.0,62.0,41.0,14.0,81.0,56.0,36.0,10.0
