Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,Season,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,B365>2.5,B365<2.5,AHh,B365AHH,B365AHA
2015-09-14,St Pauli,Duisburg,2,0,H,1.67,3.75,5.0,2015,,,,,,,,,,,,,,,
2015-09-18,Freiburg,Bielefeld,2,2,D,1.7,3.6,5.0,2015,,,,,,,,,,,,,,,
2015-09-18,Heidenheim,RB Leipzig,1,1,D,2.75,3.2,2.6,2015,,,,,,,,,,,,,,,
2015-09-18,Bochum,Fortuna Dusseldorf,1,1,D,1.95,3.6,3.6,2015,,,,,,,,,,,,,,,
2015-09-19,Munich 1860,Kaiserslautern,1,1,D,2.9,3.3,2.4,2015,,,,,,,,,,,,,,,
2015-09-19,Nurnberg,Sandhausen,2,0,H,2.1,3.5,3.3,2015,,,,,,,,,,,,,,,
2015-09-19,Paderborn,Karlsruhe,2,0,H,2.6,3.2,2.75,2015,,,,,,,,,,,,,,,
2015-09-20,Braunschweig,St Pauli,0,0,D,2.0,3.5,3.6,2015,,,,,,,,,,,,,,,
2015-09-20,Duisburg,Frankfurt FSV,0,1,A,2.5,3.25,2.8,2015,,,,,,,,,,,,,,,
2015-09-20,Union Berlin,Greuther Furth,1,2,A,2.4,3.4,2.8,2015,,,,,,,,,,,,,,,
2015-09-22,Karlsruhe,Fortuna Dusseldorf,1,1,D,2.38,3.25,3.0,2015,,,,,,,,,,,,,,,
2015-09-22,Sandhausen,Munich 1860,1,1,D,2.38,3.25,3.0,2015,,,,,,,,,,,,,,,
2015-09-22,Kaiserslautern,Nurnberg,0,3,A,1.85,3.6,4.0,2015,,,,,,,,,,,,,,,
2015-09-22,Bielefeld,Bochum,1,1,D,2.8,3.25,2.5,2015,,,,,,,,,,,,,,,
2015-09-23,Duisburg,Braunschweig,0,5,A,4.0,3.3,1.95,2015,,,,,,,,,,,,,,,
2015-09-23,Frankfurt FSV,Union Berlin,3,2,H,2.6,3.2,2.75,2015,,,,,,,,,,,,,,,
