tourney_date,tourney_name,tourney_level,surface,best_of,winner_name,loser_name,score,w_svpt,w_1stIn,w_1stWon,w_2ndWon,l_svpt,l_1stIn,l_1stWon,l_2ndWon
2018-12-31,Brisbane,A,Hard,3,Kei Nishikori,Daniil Medvedev,6-4 3-6 6-2,77.0,44.0,31.0,17.0,100.0,54.0,34.0,20.0
2018-12-31,Brisbane,A,Hard,3,Daniil Medvedev,Jo-Wilfried Tsonga,7-6(6) 6-2,52.0,33.0,28.0,14.0,77.0,52.0,36.0,7.0
2018-12-31,Brisbane,A,Hard,3,Kei Nishikori,Jeremy Chardy,6-2 6-2,47.0,33.0,26.0,9.0,46.0,27.0,15.0,6.0
2018-12-31,Brisbane,A,Hard,3,Jo-Wilfried Tsonga,Alex De Minaur,6-4 7-6(2),68.0,43.0,34.0,15.0,81.0,60.0,38.0,9.0
2018-12-31,Brisbane,A,Hard,3,Daniil Medvedev,Milos Raonic,6-7(2) 6-3 6-4,105.0,68.0,48.0,25.0,94.0,56.0,46.0,19.0
2018-12-31,Brisbane,A,Hard,3,Jeremy Chardy,Yasutaka Uchiyama,6-4 3-6 7-6(4),94.0,58.0,44.0,18.0,90.0,54.0,40.0,18.0
2018-12-31,Brisbane,A,Hard,3,Kei Nishikori,Grigor Dimitrov,7-5 7-5,59.0,47.0,37.0,9.0,80.0,53.0,37.0,13.0
2018-12-31,Brisbane,A,Hard,3,Jo-Wilfried Tsonga,Taro Daniel,7-6(5) 6-3,64.0,37.0,30.0,11.0,85.0,51.0,34.0,11.0
2018-12-31,Brisbane,A,Hard,3,Alex De Minaur,Jordan Thompson,6-4 6-2,49.0,38.0,29.0,8.0,56.0,39.0,30.0,3.0
2018-12-31,Brisbane,A,Hard,3,Daniil Medvedev,Andy Murray,7-5 6-2,54.0,34.0,27.0,13.0,60.0,39.0,27.0,7.0
2018-12-31,Brisbane,A,Hard,3,Milos Raonic,Miomir Kecmanovic,6-3 7-6(2),62.0,46.0,40.0,10.0,71.0,44.0,28.0,18.0
2018-12-31,Brisbane,A,Hard,3,Jeremy Chardy,Nick Kyrgios,6-7(5) 6-2 6-3,84.0,58.0,50.0,17.0,80.0,59.0,48.0,10.0
2018-12-31,Brisbane,A,Hard,3,Yasutaka Uchiyama,Kyle Edmund,7-6(6) 6-4,75.0,48.0,41.0,14.0,75.0,50.0,35.0,14.0
2018-12-31,Brisbane,A,Hard,3,Grigor Dimitrov,John Millman,6-3 6-4,63.0,35.0,27.0,13.0,55.0,37.0,18.0,10.0
2018-12-31,Brisbane,A,Hard,3,Kei Nishikori,Denis Kudla,7-5 6-2,56.0,32.0,27.0,15.0,60.0,36.0,26.0,8.0
2018-12-31,Brisbane,A,Hard,3,Jo-Wilfried Tsonga,Thanasi Kokkinakis,7-6(6) 6-4,76.0,41.0,33.0,20.0,61.0,46.0,34.0,10.0
2018-12-31,Brisbane,A,Hard,3,Jordan Thompson,Alex Bolt,6-3 6-0,42.0,29.0,23.0,7.0,64.0,33.0,17.0,12.0
2018-12-31,Brisbane,A,Hard,3,Alex De Minaur,Alexei Popyrin,6-2 6-2,43.0,28.0,25.0,6.0,49.0,31.0,18.0,4.0
2018-12-31,Brisbane,A,Hard,3,Andy Murray,James Duckworth,6-3 6-4,66.0,39.0,28.0,16.0,56.0,34.0,23.0,9.0
2018-12-31,Brisbane,A,Hard,3,Miomir Kecmanovic,Leonardo Mayer,6-3 6-1,45.0,25.0,22.0,12.0,49.0,29.0,18.0,7.0
2018-12-31,Brisbane,A,Hard,3,Milos Raonic,Aljaz Bedene,6-0 6-3,38.0,29.0,27.0,5.0,43.0,30.0,16.0,2.0
2018-12-31,Brisbane,A,Hard,3,Nick Kyrgios,Ryan Harrison,7-6(5) 5-7 7-6(5),119.0,80.0,63.0,24.0,113.0,77.0,60.0,24.0
2018-12-31,Brisbane,A,Hard,3,Jeremy Chardy,Jan Lennard Struff,4-6 6-3 6-4,87.0,52.0,40.0,21.0,74.0,41.0,32.0,22.0
2018-12-31,Brisbane,A,Hard,3,Yasutaka Uchiyama,Ugo Humbert,6-4 7-6(6),58.0,43.0,39.0,10.0,75.0,45.0,35.0,14.0
2018-12-31,Brisbane,A,Hard,3,Grigor Dimitrov,Yoshihito Nishioka,6-3 6-4,76.0,43.0,37.0,12.0,47.0,33.0,21.0,7.0
2018-12-31,Brisbane,A,Hard,3,John Millman,Tennys Sandgren,7-6(6) 6-7(6) 6-0,98.0,68.0,49.0,15.0,106.0,63.0,44.0,20.0
2018-12-31,Brisbane,A,Hard,3,Denis Kudla,Taylor Fritz,7-6(5) 6-7(2) 6-4,117.0,73.0,58.0,26.0,123.0,72.0,57.0,27.0
2018-12-31,Doha,A,Hard,3,Roberto Bautista Agut,Tomas Berdych,6-4 3-6 6-3,85.0,60.0,43.0,16.0,82.0,51.0,39.0,16.0
2018-12-31,Doha,A,Hard,3,Roberto Bautista Agut,Novak Djokovic,3-6 7-6(6) 6-4,88.0,66.0,52.0,11.0,114.0,72.0,48.0,27.0
2018-12-31,Doha,A,Hard,3,Tomas Berdych,Marco Cecchinato,7-6(6) 6-3,64.0,41.0,31.0,18.0,82.0,51.0,33.0,17.0
2018-12-31,Doha,A,Hard,3,Novak Djokovic,Nikoloz Basilashvili,4-6 6-3 6-4,86.0,57.0,41.0,15.0,82.0,54.0,39.0,12.0
2018-12-31,Doha,A,Hard,3,Roberto Bautista Agut,Stan Wawrinka,6-4 6-4,70.0,53.0,39.0,8.0,86.0,51.0,32.0,18.0
2018-12-31,Doha,A,Hard,3,Marco Cecchinato,Dusan Lajovic,7-6(2) 6-2,59.0,47.0,36.0,9.0,60.0,46.0,33.0,6.0
2018-12-31,Doha,A,Hard,3,Tomas Berdych,Pierre Hugues Herbert,6-2 6-4,48.0,32.0,29.0,8.0,66.0,44.0,27.0,11.0
2018-12-31,Doha,A,Hard,3,Novak Djokovic,Marton Fucsovics,4-6 6-4 6-1,75.0,53.0,39.0,13.0,85.0,53.0,33.0,16.0
2018-12-31,Doha,A,Hard,3,Nikoloz Basilashvili,Andrey Rublev,6-3 6-4,60.0,36.0,31.0,8.0,51.0,28.0,19.0,8.0
2018-12-31,Doha,A,Hard,3,Stan Wawrinka,Nicolas Jarry,6-4 7-6(3),61.0,30.0,28.0,20.0,70.0,47.0,38.0,11.0
2018-12-31,Doha,A,Hard,3,Roberto Bautista Agut,Guillermo Garcia Lopez,6-1 6-4,49.0,33.0,25.0,11.0,49.0,32.0,20.0,3.0
2018-12-31,Doha,A,Hard,3,Dusan Lajovic,Ricardas Berankis,7-6(4) 0-6 7-5,100.0,73.0,48.0,12.0,98.0,61.0,45.0,16.0
2018-12-31,Doha,A,Hard,3,Marco Cecchinato,Guido Pella,W/O,,,,,,,,
2018-12-31,Doha,A,Hard,3,Tomas Berdych,Fernando Verdasco,4-6 6-3 7-5,89.0,59.0,44.0,15.0,113.0,75.0,50.0,16.0
2018-12-31,Doha,A,Hard,3,Pierre Hugues Herbert,Maximilian Marterer,6-3 6-7(6) 7-6(6),110.0,73.0,57.0,25.0,108.0,73.0,56.0,22.0
2018-12-31,Doha,A,Hard,3,Novak Djokovic,Damir Dzumhur,6-1 6-2,42.0,26.0,21.0,11.0,48.0,26.0,17.0,5.0
2018-12-31,Doha,A,Hard,3,Marton Fucsovics,Marius Copil,6-3 6-2,54.0,32.0,24.0,15.0,53.0,34.0,20.0,8.0
2018-12-31,Doha,A,Hard,3,Andrey Rublev,Andreas Seppi,7-5 6-1,59.0,30.0,22.0,18.0,61.0,35.0,22.0,8.0
2018-12-31,Doha,A,Hard,3,Nikoloz Basilashvili,Albert Ramos,6-1 1-6 6-1,66.0,33.0,27.0,16.0,77.0,47.0,26.0,14.0
2018-12-31,Doha,A,Hard,3,Stan Wawrinka,Karen Khachanov,7-6(7) 6-4,86.0,49.0,36.0,22.0,67.0,46.0,36.0,13.0
2018-12-31,Doha,A,Hard,3,Nicolas Jarry,Robin Haase,6-7(7) 6-4 7-6(4),124.0,87.0,59.0,24.0,107.0,74.0,54.0,19.0
2018-12-31,Doha,A,Hard,3,Guillermo Garcia Lopez,Mubarak Shannan Zayid,6-1 6-3,40.0,27.0,22.0,12.0,57.0,30.0,17.0,11.0
2018-12-31,Doha,A,Hard,3,Roberto Bautista Agut,Matteo Berrettini,6-1 6-4,51.0,34.0,27.0,12.0,45.0,28.0,17.0,7.0
2018-12-31,Doha,A,Hard,3,Ricardas Berankis,David Goffin,3-6 6-4 7-6(4),104.0,66.0,44.0,21.0,109.0,70.0,47.0,21.0
2018-12-31,Doha,A,Hard,3,Dusan Lajovic,Adrian Mannarino,6-3 7-6(5),77.0,58.0,40.0,9.0,61.0,38.0,26.0,11.0
2018-12-31,Doha,A,Hard,3,Guido Pella,Cem Ilkel,7-6(1) 6-3,66.0,48.0,36.0,11.0,82.0,53.0,32.0,12.0
2018-12-31,Doha,A,Hard,3,Marco Cecchinato,Sergiy Stakhovsky,6-4 6-2,56.0,42.0,35.0,6.0,79.0,58.0,34.0,9.0
2018-12-31,Doha,A,Hard,3,Fernando Verdasco,Paolo Lorenzi,6-3 6-4,54.0,36.0,30.0,6.0,69.0,40.0,21.0,14.0
2018-12-31,Doha,A,Hard,3,Tomas Berdych,Philipp Kohlschreiber,6-4 7-6(5),73.0,43.0,33.0,17.0,73.0,42.0,33.0,14.0
2018-12-31,Doha,A,Hard,3,Maximilian Marterer,Peter Gojowczyk,6-1 6-4,48.0,34.0,30.0,8.0,50.0,27.0,19.0,10.0
2018-12-31,Doha,A,Hard,3,Pierre Hugues Herbert,Dominic Thiem,6-3 7-5,63.0,41.0,33.0,13.0,57.0,34.0,23.0,13.0
2018-12-31,Pune,A,Hard,3,Kevin Anderson,Ivo Karlovic,7-6(4) 6-7(2) 7-6(5),104.0,65.0,57.0,26.0,118.0,83.0,74.0,16.0
2018-12-31,Pune,A,Hard,3,Kevin Anderson,Gilles Simon,6-3 7-6(3),86.0,54.0,43.0,14.0,56.0,34.0,26.0,10.0
2018-12-31,Pune,A,Hard,3,Ivo Karlovic,Steve Darcis,7-6(3) 4-6 6-3,89.0,58.0,52.0,17.0,95.0,80.0,57.0,8.0
2018-12-31,Pune,A,Hard,3,Kevin Anderson,Jaume Munar,6-3 6-3,51.0,33.0,27.0,9.0,43.0,26.0,16.0,7.0
2018-12-31,Pune,A,Hard,3,Gilles Simon,Benoit Paire,3-6 7-6(4) 6-4,104.0,74.0,54.0,13.0,119.0,64.0,48.0,23.0
2018-12-31,Pune,A,Hard,3,Steve Darcis,Malek Jaziri,7-5 6-2,65.0,42.0,27.0,16.0,56.0,22.0,17.0,14.0
2018-12-31,Pune,A,Hard,3,Ivo Karlovic,Ernests Gulbis,7-6(5) 7-6(5),83.0,60.0,51.0,12.0,78.0,45.0,40.0,18.0
2018-12-31,Pune,A,Hard,3,Kevin Anderson,Laslo Djere,7-6(3) 7-6(6),81.0,54.0,44.0,16.0,99.0,63.0,47.0,16.0
2018-12-31,Pune,A,Hard,3,Jaume Munar,Simone Bolelli,7-5 6-0,47.0,36.0,29.0,5.0,63.0,42.0,20.0,8.0
2018-12-31,Pune,A,Hard,3,Gilles Simon,Ilya Ivashka,6-7(3) 6-2 6-1,107.0,62.0,42.0,29.0,104.0,66.0,40.0,19.0
2018-12-31,Pune,A,Hard,3,Benoit Paire,Jiri Vesely,6-4 6-2,53.0,22.0,20.0,17.0,65.0,39.0,22.0,12.0
2018-12-31,Pune,A,Hard,3,Steve Darcis,Michael Mmoh,4-6 7-6(4) 6-2,131.0,81.0,51.0,29.0,108.0,71.0,46.0,21.0
2018-12-31,Pune,A,Hard,3,Malek Jaziri,Ramkumar Ramanathan,6-7(6) 7-6(5) 6-3,143.0,78.0,59.0,29.0,112.0,77.0,56.0,15.0
2018-12-31,Pune,A,Hard,3,Ivo Karlovic,Evgeny Donskoy,6-4 7-5,51.0,36.0,31.0,13.0,68.0,35.0,28.0,16.0
2018-12-31,Pune,A,Hard,3,Ernests Gulbis,Hyeon Chung,7-6(2) 6-2,63.0,32.0,23.0,16.0,62.0,35.0,16.0,15.0
2018-12-31,Pune,A,Hard,3,Laslo Djere,Arjun Kadhe,7-5 7-6(6),70.0,43.0,37.0,16.0,93.0,61.0,40.0,18.0
2018-12-31,Pune,A,Hard,3,Simone Bolelli,Denis Istomin,6-4 6-4,61.0,43.0,31.0,11.0,54.0,35.0,23.0,12.0
2018-12-31,Pune,A,Hard,3,Jaume Munar,Radu Albot,6-2 7-6(4),78.0,58.0,39.0,10.0,68.0,42.0,26.0,13.0
2018-12-31,Pune,A,Hard,3,Ilya Ivashka,Hubert Hurkacz,6-7(9) 6-2 6-3,110.0,64.0,48.0,31.0,99.0,67.0,49.0,14.0
2018-12-31,Pune,A,Hard,3,Jiri Vesely,Antoine Hoang,4-6 6-4 6-4,81.0,47.0,37.0,20.0,106.0,78.0,50.0,17.0
2018-12-31,Pune,A,Hard,3,Benoit Paire,Thiago Monteiro,7-6(5) 6-3,79.0,44.0,37.0,18.0,70.0,50.0,38.0,9.0
2018-12-31,Pune,A,Hard,3,Steve Darcis,Roberto Carballes Baena,6-3 6-4,66.0,39.0,25.0,16.0,56.0,32.0,22.0,8.0
2018-12-31,Pune,A,Hard,3,Michael Mmoh,Prajnesh Gunneswaran,7-5 6-3,48.0,39.0,34.0,5.0,63.0,32.0,23.0,12.0
2018-12-31,Pune,A,Hard,3,Ramkumar Ramanathan,Marcel Granollers,4-6 6-4 6-3,90.0,64.0,49.0,13.0,81.0,61.0,41.0,11.0
2018-12-31,Pune,A,Hard,3,Evgeny Donskoy,Pablo Andujar,6-3 5-7 7-6(6),109.0,69.0,49.0,19.0,106.0,51.0,38.0,27.0
2018-12-31,Pune,A,Hard,3,Ivo Karlovic,Felix Auger Aliassime,6-4 7-5,55.0,34.0,29.0,15.0,56.0,39.0,30.0,9.0
2018-12-31,Pune,A,Hard,3,Ernests Gulbis,Pedro Sousa,6-4 4-6 6-4,102.0,61.0,45.0,23.0,96.0,61.0,41.0,18.0
2019-01-07,Auckland,A,Hard,3,Tennys Sandgren,Cameron Norrie,6-4 6-2,62.0,37.0,28.0,13.0,59.0,39.0,23.0,11.0
2019-01-07,Auckland,A,Hard,3,Cameron Norrie,Jan Lennard Struff,7-5 4-6 6-3,103.0,76.0,56.0,12.0,95.0,61.0,45.0,13.0
2019-01-07,Auckland,A,Hard,3,Tennys Sandgren,Philipp Kohlschreiber,6-4 6-2,47.0,33.0,31.0,7.0,59.0,36.0,24.0,10.0
2019-01-07,Auckland,A,Hard,3,Cameron Norrie,Taylor Fritz,7-6(3) 6-3,77.0,48.0,39.0,15.0,80.0,52.0,36.0,13.0
2019-01-07,Auckland,A,Hard,3,Jan Lennard Struff,Pablo Carreno Busta,7-6(5) 6-7(6) 7-6(7),125.0,80.0,66.0,20.0,148.0,104.0,72.0,23.0
2019-01-07,Auckland,A,Hard,3,Tennys Sandgren,Leonardo Mayer,6-3 7-6(5),66.0,41.0,34.0,15.0,69.0,40.0,27.0,18.0
2019-01-07,Auckland,A,Hard,3,Philipp Kohlschreiber,Fabio Fognini,6-3 6-1,53.0,35.0,27.0,10.0,52.0,27.0,14.0,12.0
2019-01-07,Auckland,A,Hard,3,Taylor Fritz,John Isner,7-6(3) 7-6(5),86.0,57.0,45.0,14.0,84.0,59.0,48.0,10.0
2019-01-07,Auckland,A,Hard,3,Cameron Norrie,Joao Sousa,7-6(5) 6-4,73.0,54.0,42.0,12.0,68.0,45.0,34.0,13.0
2019-01-07,Auckland,A,Hard,3,Pablo Carreno Busta,David Ferrer,1-1 RET,8.0,2.0,2.0,3.0,11.0,9.0,5.0,2.0
2019-01-07,Auckland,A,Hard,3,Jan Lennard Struff,Jose Rubin Statham,6-2 6-1,48.0,29.0,24.0,12.0,46.0,30.0,19.0,3.0
2019-01-07,Auckland,A,Hard,3,Leonardo Mayer,Matteo Berrettini,5-7 7-6(5) 6-3,114.0,75.0,54.0,23.0,87.0,55.0,50.0,17.0
2019-01-07,Auckland,A,Hard,3,Tennys Sandgren,Marco Cecchinato,6-3 6-3,47.0,35.0,31.0,6.0,49.0,35.0,23.0,6.0
2019-01-07,Auckland,A,Hard,3,Philipp Kohlschreiber,Ugo Humbert,6-4 6-4,43.0,30.0,28.0,12.0,61.0,37.0,25.0,12.0
2019-01-07,Auckland,A,Hard,3,Fabio Fognini,Peter Gojowczyk,6-2 3-6 7-6(5),105.0,73.0,51.0,15.0,98.0,52.0,38.0,22.0
2019-01-07,Auckland,A,Hard,3,Taylor Fritz,Marius Copil,4-6 6-3 6-4,88.0,52.0,46.0,18.0,78.0,47.0,37.0,16.0
2019-01-07,Auckland,A,Hard,3,Cameron Norrie,Benoit Paire,6-3 6-2,53.0,42.0,33.0,7.0,62.0,30.0,18.0,16.0
2019-01-07,Auckland,A,Hard,3,Joao Sousa,Denis Shapovalov,4-6 6-4 6-4,105.0,62.0,41.0,18.0,112.0,71.0,44.0,21.0
2019-01-07,Auckland,A,Hard,3,David Ferrer,Robin Haase,6-2 6-1,40.0,28.0,21.0,8.0,57.0,31.0,15.0,9.0
2019-01-07,Auckland,A,Hard,3,Jan Lennard Struff,Laslo Djere,7-6(5) 2-0 RET,53.0,27.0,21.0,13.0,50.0,31.0,19.0,10.0
2019-01-07,Auckland,A,Hard,3,Jose Rubin Statham,Hyeon Chung,7-5 6-3,63.0,39.0,29.0,12.0,58.0,36.0,27.0,6.0
2019-01-07,Auckland,A,Hard,3,Leonardo Mayer,Steve Johnson,7-5 6-3,59.0,31.0,22.0,19.0,73.0,46.0,32.0,9.0
2019-01-07,Auckland,A,Hard,3,Matteo Berrettini,Mackenzie Mcdonald,6-3 6-4,61.0,40.0,32.0,11.0,56.0,34.0,22.0,11.0
2019-01-07,Auckland,A,Hard,3,Tennys Sandgren,Maximilian Marterer,6-3 6-4,66.0,35.0,25.0,18.0,50.0,31.0,18.0,11.0
2019-01-07,Auckland,A,Hard,3,Ugo Humbert,Pablo Cuevas,7-5 6-1,58.0,34.0,26.0,15.0,51.0,32.0,18.0,8.0
2019-01-07,Auckland,A,Hard,3,Philipp Kohlschreiber,Bradley Klahn,6-4 7-6(2),61.0,35.0,27.0,18.0,62.0,34.0,25.0,17.0
