Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,Season,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,B365>2.5,B365<2.5,AHh,B365AHH,B365AHA
2015-09-26,Utrecht,Cambuur,3,3,D,1.5,4.33,6.0,2015,,,,,,,,,,,,,,,
2015-09-26,Heerenveen,Vitesse,0,0,D,2.7,3.6,2.4,2015,,,,,,,,,,,,,,,
2015-09-26,Ajax,Groningen,2,0,H,1.4,4.5,7.5,2015,,,,,,,,,,,,,,,
2015-09-26,AZ Alkmaar,Heracles,3,1,H,2.0,3.75,3.4,2015,,,,,,,,,,,,,,,
2015-09-27,Den Haag,Excelsior,3,3,D,1.73,3.75,4.5,2015,,,,,,,,,,,,,,,
2015-09-27,Feyenoord,Zwolle,2,0,H,1.36,5.0,7.5,2015,,,,,,,,,,,,,,,
2015-09-27,Graafschap,Willem II,2,2,D,3.5,3.6,2.0,2015,,,,,,,,,,,,,,,
2015-09-27,Twente,Roda,2,1,H,1.67,3.8,5.0,2015,,,,,,,,,,,,,,,
2015-10-02,Heracles,Heerenveen,2,0,H,2.05,3.6,3.3,2015,,,,,,,,,,,,,,,
2015-10-03,Willem II,Zwolle,0,1,A,2.1,3.6,3.2,2015,,,,,,,,,,,,,,,
2015-10-03,Roda,Cambuur,1,1,D,1.95,3.5,3.75,2015,,,,,,,,,,,,,,,
2015-10-03,Nijmegen,Den Haag,4,1,H,2.05,3.4,3.5,2015,,,,,,,,,,,,,,,
2015-10-03,Excelsior,Utrecht,1,0,H,2.8,3.4,2.4,2015,,,,,,,,,,,,,,,
2015-10-04,Ajax,PSV Eindhoven,1,2,A,2.0,3.6,3.5,2015,,,,,,,,,,,,,,,
2015-10-04,AZ Alkmaar,Twente,3,1,H,2.05,3.6,3.3,2015,,,,,,,,,,,,,,,
2015-10-04,Graafschap,Feyenoord,1,2,A,8.5,4.75,1.36,2015,,,,,,,,,,,,,,,
2015-10-04,Vitesse,Groningen,5,0,H,1.53,4.33,5.5,2015,,,,,,,,,,,,,,,
2015-10-17,Utrecht,Roda,1,1,D,1.6,4.0,5.25,2015,,,,,,,,,,,,,,,
2015-10-17,PSV Eindhoven,Excelsior,1,1,D,1.18,7.0,13.0,2015,,,,,,,,,,,,,,,
2015-10-17,Heracles,Ajax,0,2,A,4.0,3.75,1.83,2015,,,,,,,,,,,,,,,
2015-10-17,Groningen,Willem II,2,1,H,1.8,3.5,4.5,2015,,,,,,,,,,,,,,,
2015-10-17,Cambuur,AZ Alkmaar,1,1,D,3.0,3.5,2.25,2015,,,,,,,,,,,,,,,
2015-10-18,Den Haag,Graafschap,1,1,D,1.55,4.2,5.5,2015,,,,,,,,,,,,,,,
2015-10-18,Heerenveen,Feyenoord,2,5,A,4.2,3.5,1.85,2015,,,,,,,,,,,,,,,
