tourney_date,tourney_name,tourney_level,surface,best_of,winner_name,loser_name,score,w_svpt,w_1stIn,w_1stWon,w_2ndWon,l_svpt,l_1stIn,l_1stWon,l_2ndWon
2024-12-27,United Cup,A,Hard,3,Taylor Fritz,Hubert Hurkacz,6-4 5-7 7-6(4),96.0,62.0,51.0,20.0,96.0,64.0,51.0,20.0
2024-12-27,United Cup,A,Hard,3,Taylor Fritz,Tomas Machac,6-7(4) 6-5 RET,79.0,57.0,43.0,9.0,79.0,52.0,35.0,14.0
2024-12-27,United Cup,A,Hard,3,Hubert Hurkacz,Alexander Shevchenko,6-3 6-2,46.0,35.0,28.0,8.0,49.0,34.0,18.0,9.0
2024-12-27,United Cup,A,Hard,3,Taylor Fritz,Zhizhen Zhang,6-4 6-4,44.0,33.0,30.0,10.0,72.0,48.0,36.0,9.0
2024-12-27,United Cup,A,Hard,3,Tomas Machac,Flavio Cobolli,6-1 6-2,43.0,27.0,23.0,11.0,35.0,19.0,10.0,6.0
2024-12-27,United Cup,A,Hard,3,Hubert Hurkacz,Billy Harris,7-6(3) 7-5,67.0,51.0,45.0,9.0,79.0,54.0,42.0,12.0
2024-12-27,United Cup,A,Hard,3,Felix Auger Aliassime,Taylor Fritz,4-6 7-5 6-3,89.0,59.0,47.0,15.0,92.0,58.0,42.0,16.0
2024-12-27,United Cup,A,Hard,3,Taylor Fritz,Borna Coric,6-3 6-2,56.0,28.0,22.0,17.0,54.0,27.0,19.0,11.0
2024-12-27,United Cup,A,Hard,3,Borna Coric,Felix Auger Aliassime,0-6 6-4 6-4,81.0,40.0,26.0,17.0,90.0,67.0,43.0,11.0
2024-12-27,United Cup,A,Hard,3,Tomas Machac,Hubert Hurkacz,7-5 3-6 6-4,83.0,52.0,43.0,14.0,85.0,55.0,40.0,21.0
2024-12-27,United Cup,A,Hard,3,Casper Ruud,Hubert Hurkacz,7-5 6-3,61.0,44.0,34.0,12.0,58.0,40.0,28.0,8.0
2024-12-27,United Cup,A,Hard,3,Casper Ruud,Tomas Machac,7-6(6) 5-7 6-4,116.0,75.0,56.0,19.0,111.0,70.0,50.0,17.0
2024-12-27,United Cup,A,Hard,3,Alexander Shevchenko,Stefanos Tsitsipas,6-4 7-6(0),70.0,45.0,31.0,19.0,77.0,42.0,30.0,16.0
2024-12-27,United Cup,A,Hard,3,Stefanos Tsitsipas,Pablo Carreno Busta,6-4 4-6 6-3,84.0,49.0,40.0,19.0,92.0,70.0,48.0,9.0
2024-12-27,United Cup,A,Hard,3,Pablo Carreno Busta,Alexander Shevchenko,6-2 6-1,40.0,27.0,21.0,9.0,42.0,24.0,14.0,4.0
2024-12-27,United Cup,A,Hard,3,Flavio Cobolli,Ugo Humbert,3-6 7-6(8) 6-2,89.0,57.0,41.0,21.0,83.0,46.0,36.0,24.0
2024-12-27,United Cup,A,Hard,3,Flavio Cobolli,Dominic Stricker,6-3 7-6(2),67.0,36.0,27.0,22.0,62.0,45.0,33.0,7.0
2024-12-27,United Cup,A,Hard,3,Ugo Humbert,Dominic Stricker,6-3 7-5,51.0,34.0,30.0,10.0,56.0,34.0,27.0,10.0
2024-12-27,United Cup,A,Hard,3,Alexander Zverev,Zhizhen Zhang,2-6 6-0 6-2,66.0,47.0,36.0,8.0,78.0,48.0,31.0,11.0
