Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,Season,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,B365>2.5,B365<2.5,AHh,B365AHH,B365AHA
2015-10-03,Ternana,Novara,2,0,H,2.3,3.1,3.25,2015,,,,,,,,,,,,,,,
2015-10-03,Virtus Lanciano,Spezia,0,0,D,3.0,3.0,2.5,2015,,,,,,,,,,,,,,,
2015-10-03,Pescara,Cagliari,1,0,H,3.0,3.0,2.5,2015,,,,,,,,,,,,,,,
2015-10-03,Avellino,Vicenza,1,4,A,2.0,3.1,4.2,2015,,,,,,,,,,,,,,,
2015-10-03,Como,Ascoli,0,4,A,2.1,3.3,3.5,2015,,,,,,,,,,,,,,,
2015-10-03,Cesena,Livorno,1,0,H,2.4,3.25,2.9,2015,,,,,,,,,,,,,,,
2015-10-03,Brescia,Modena,2,2,D,2.25,3.1,3.4,2015,,,,,,,,,,,,,,,
2015-10-03,Latina,Bari,1,2,A,2.5,2.9,3.1,2015,,,,,,,,,,,,,,,
2015-10-05,Trapani,Perugia,0,0,D,2.2,2.9,3.75,2015,,,,,,,,,,,,,,,
2015-10-10,Pro Vercelli,Novara,0,1,A,2.6,3.0,2.9,2015,,,,,,,,,,,,,,,
2015-10-10,Vicenza,Crotone,0,0,D,2.0,3.2,4.0,2015,,,,,,,,,,,,,,,
2015-10-11,Spezia,Ternana,1,0,H,1.67,3.5,5.5,2015,,,,,,,,,,,,,,,
2015-10-11,Salernitana,Trapani,0,1,A,2.38,3.0,3.2,2015,,,,,,,,,,,,,,,
2015-10-11,Perugia,Virtus Entella,0,0,D,1.73,3.25,5.5,2015,,,,,,,,,,,,,,,
2015-10-11,Livorno,Avellino,1,1,D,2.0,3.1,4.2,2015,,,,,,,,,,,,,,,
2015-10-11,Modena,Latina,0,2,A,2.25,3.0,3.5,2015,,,,,,,,,,,,,,,
2015-10-11,Cagliari,Cesena,3,1,H,1.8,3.4,4.75,2015,,,,,,,,,,,,,,,
2015-10-11,Bari,Virtus Lanciano,1,0,H,1.8,3.4,4.75,2015,,,,,,,,,,,,,,,
2015-10-11,Ascoli,Pescara,3,1,H,2.8,3.0,2.7,2015,,,,,,,,,,,,,,,
2015-10-11,Como,Brescia,1,3,A,2.3,3.0,3.4,2015,,,,,,,,,,,,,,,
