Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,Season,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,B365>2.5,B365<2.5,AHh,B365AHH,B365AHA
2015-09-27,Nacional,Setubal,1.0,1.0,D,1.91,3.4,4.0,2015,,,,,,,,,,,,,,,
2015-09-28,Rio Ave,Academica,1.0,0.0,H,1.62,3.6,6.0,2015,,,,,,,,,,,,,,,
2015-10-02,Setubal,Estoril,1.0,0.0,H,2.5,3.2,2.88,2015,,,,,,,,,,,,,,,
2015-10-03,Tondela,Moreirense,1.0,1.0,D,2.38,3.1,3.1,2015,,,,,,,,,,,,,,,
2015-10-03,Rio Ave,Boavista,1.0,0.0,H,2.05,3.3,3.6,2015,,,,,,,,,,,,,,,
2015-10-03,Academica,Maritimo,1.0,0.0,H,4.0,3.1,2.05,2015,,,,,,,,,,,,,,,
2015-10-03,Pacos Ferreira,Nacional,3.0,1.0,H,2.2,3.5,3.1,2015,,,,,,,,,,,,,,,
2015-10-04,Porto,Belenenses,4.0,0.0,H,1.14,7.0,21.0,2015,,,,,,,,,,,,,,,
2015-10-04,Sp Braga,Arouca,0.0,0.0,D,1.53,4.0,6.0,2015,,,,,,,,,,,,,,,
2015-10-04,Sp Lisbon,Guimaraes,5.0,1.0,H,1.29,5.5,10.0,2015,,,,,,,,,,,,,,,
2015-10-23,Nacional,Boavista,0.0,0.0,D,1.91,3.25,4.33,2015,,,,,,,,,,,,,,,
2015-10-24,Maritimo,Pacos Ferreira,0.0,2.0,A,1.91,3.4,4.0,2015,,,,,,,,,,,,,,,
2015-10-24,Estoril,Rio Ave,2.0,2.0,D,2.2,3.1,3.5,2015,,,,,,,,,,,,,,,
2015-10-24,Guimaraes,Academica,1.0,1.0,D,1.7,3.6,5.0,2015,,,,,,,,,,,,,,,
2015-10-25,Porto,Sp Braga,0.0,0.0,D,1.33,4.75,9.5,2015,,,,,,,,,,,,,,,
2015-10-25,Moreirense,Setubal,0.0,2.0,A,2.3,3.2,3.2,2015,,,,,,,,,,,,,,,
2015-10-25,Arouca,Tondela,1.0,1.0,D,1.85,3.2,4.75,2015,,,,,,,,,,,,,,,
2015-10-25,Benfica,Sp Lisbon,0.0,3.0,A,2.2,3.2,3.4,2015,,,,,,,,,,,,,,,
2015-10-26,Belenenses,Uniao Madeira,1.0,0.0,H,1.83,3.4,4.5,2015,,,,,,,,,,,,,,,
2015-10-30,Tondela,Benfica,0.0,4.0,A,13.0,5.25,1.25,2015,,,,,,,,,,,,,,,
2015-10-31,Sp Braga,Belenenses,4.0,0.0,H,1.5,4.0,6.5,2015,,,,,,,,,,,,,,,
2015-10-31,Sp Lisbon,Estoril,1.0,0.0,H,1.2,6.0,15.0,2015,,,,,,,,,,,,,,,
2015-11-01,Setubal,Arouca,0.0,0.0,D,2.1,3.1,3.75,2015,,,,,,,,,,,,,,,
2015-11-01,Rio Ave,Nacional,1.0,0.0,H,2.3,3.1,3.3,2015,,,,,,,,,,,,,,,
2015-11-01,Boavista,Maritimo,0.0,1.0,A,2.7,3.2,2.6,2015,,,,,,,,,,,,,,,
2015-11-01,Academica,Moreirense,1.0,1.0,D,2.35,3.0,3.25,2015,,,,,,,,,,,,,,,
2015-11-02,Pacos Ferreira,Guimaraes,0.0,1.0,A,2.15,3.2,3.5,2015,,,,,,,,,,,,,,,
2015-11-06,Estoril,Academica,1.0,1.0,D,1.75,3.4,5.0,2015,,,,,,,,,,,,,,,
2015-11-07,Guimaraes,Nacional,0.0,1.0,A,2.1,3.25,3.5,2015,,,,,,,,,,,,,,,
2015-11-08,Arouca,Sp Lisbon,0.0,1.0,A,9.0,4.5,1.36,2015,,,,,,,,,,,,,,,
2015-11-08,Benfica,Boavista,2.0,0.0,H,1.14,7.5,19.0,2015,,,,,,,,,,,,,,,
2015-11-08,Maritimo,Rio Ave,3.0,2.0,H,2.1,3.1,3.8,2015,,,,,,,,,,,,,,,
2015-11-08,Moreirense,Pacos Ferreira,2.0,0.0,H,2.63,3.1,2.75,2015,,,,,,,,,,,,,,,
2015-11-08,Porto,Setubal,2.0,0.0,H,1.18,7.0,13.0,2015,,,,,,,,,,,,,,,
2015-11-09,Belenenses,Tondela,2.0,1.0,H,1.75,3.5,4.75,2015,,,,,,,,,,,,,,,
2015-11-09,Uniao Madeira,Sp Braga,0.0,1.0,A,4.0,3.4,1.91,2015,,,,,,,,,,,,,,,
2015-11-27,Nacional,Maritimo,3.0,1.0,H,2.38,3.1,3.1,2015,,,,,,,,,,,,,,,
2015-11-28,Boavista,Guimaraes,1.0,2.0,A,2.5,3.0,3.0,2015,,,,,,,,,,,,,,,
2015-11-28,Setubal,Uniao Madeira,2.0,2.0,D,1.91,3.2,4.33,2015,,,,,,,,,,,,,,,
2015-11-28,Tondela,Porto,0.0,1.0,A,19.0,6.5,1.17,2015,,,,,,,,,,,,,,,
2015-11-29,Pacos Ferreira,Estoril,2.0,0.0,H,2.1,3.1,3.8,2015,,,,,,,,,,,,,,,
2015-11-29,Rio Ave,Moreirense,0.0,1.0,A,1.83,3.4,4.5,2015,,,,,,,,,,,,,,,
2015-11-29,Academica,Arouca,1.0,1.0,D,2.5,3.0,3.0,2015,,,,,,,,,,,,,,,
2015-11-30,Sp Braga,Benfica,0.0,2.0,A,3.0,3.25,2.38,2015,,,,,,,,,,,,,,,
2015-11-30,Sp Lisbon,Belenenses,1.0,0.0,H,1.17,7.5,13.0,2015,,,,,,,,,,,,,,,
